ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,TAX NAME,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP,editeur,verificateur,traducteur,auteur,couverture,nature_de_Papier,n_edition,ISBN,annee_edition,emplacement,collection,BL,FA,theme,image
"BIENVENUE CHEZ LES LOUD - T31 - BIENVENUE CHEZ LES LOUD 31 - COURAGE, CLYDE !",livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017162162,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,08/12/2021,,,,,JEUNESSE,uploads/items/11.jpg
BIENVENUE CHEZ LES LOUD - T32 - BIENVENUE CHEZ LES LOUD 32 - JAMAIS SANS LORI,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017162261,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,12/01/2022,,,,,JEUNESSE,uploads/items/12.jpg
BIENVENUE CHEZ LES LOUD - T33 - BIENVENUE CHEZ LES LOUD 33 - LENI AUX COMMANDES,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017162278,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,23/02/2022,,,,,JEUNESSE,uploads/items/13.jpg
BIENVENUE CHEZ LES LOUD - T34 - BIENVENUE CHEZ LES LOUD 34 - AGENTS SUPER SECRETS !,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017179917,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,13/04/2022,,,,,JEUNESSE,uploads/items/14.jpg
BIENVENUE CHEZ LES LOUD - T35 - BIENVENUE CHEZ LES LOUD 35 - LE POUVOIR DE LA MAGIE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017179924,10,,Percentage,35,81.00, HACHETTE JEUN.,,, XXX,,,,,25/05/2022,,,,,JEUNESSE,uploads/items/15.jpg
BIENVENUE CHEZ LES LOUD - T36 - BIENVENUE CHEZ LES LOUD 36 - LA SCIENCE REND AVEUGLE,livres,,,PIECES,5,Brand 1,11,75.00,TVA,20,Inclusive,48.75,10,9782017180067,10,,Percentage,35,75.00, HACHETTE JEUN.,,, XXX,,,,,29/06/2022,,,,,JEUNESSE,uploads/items/16.jpg
LA COMTESSE DE SEGUR - T01 - LA COMTESSE DE SEGUR 01 NED - LES MALHEURS DE SOPHIE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017111207,10,,Percentage,35,89.00, HACHETTE JEUN.,,, XXX |  SEGUR (NEE ROSTOPCHI,,,,,01/07/2020,,,,,JEUNESSE,uploads/items/17.jpg
LA COMTESSE DE SEGUR - T02 - LA COMTESSE DE SEGUR 02 NED -LES PETITES FILLES MODELES,livres,,,PIECES,5,Brand 1,11,82.00,TVA,20,Inclusive,106.6,10,9782017120780,10,,Percentage,35,82.00, HACHETTE JEUN.,,, XXX |  SEGUR (NEE ROSTOPCHI,,,,,01/07/2020,,,,,JEUNESSE,uploads/items/18.jpg
LA COMTESSE DE SEGUR - T04 - LA COMTESSE DE SEGUR 04 NED- NOUVEAUX CONTES DE FEES,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017128175,10,,Percentage,35,89.00, HACHETTE JEUN.,,, XXX |  SEGUR/MOTIN,,,,,20/01/2021,,,,,JEUNESSE,uploads/items/19.jpg
LA COMTESSE DE SEGUR - T05 - LA COMTESSE DE SEGUR 05 NED - MEMOIRES D'UN ANE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017145592,10,,Percentage,35,89.00, HACHETTE JEUN.,,, SEGUR |  XXX,,,,,14/04/2021,,,,,JEUNESSE,uploads/items/20.jpg
LA COMTESSE DE SEGUR - T06 - LA COMTESSE DE SEGUR 06 NED - LES BONS ENFANTS,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017145769,10,,Percentage,35,89.00, HACHETTE JEUN.,,, COMTESSE DE SEGUR |  XXX,,,,,30/06/2021,,,,,JEUNESSE,uploads/items/21.jpg
LA COMTESSE DE SEGUR - T07 - LA COMTESSE DE SEGUR 07 NED - LES DEUX NIGAUDS,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,57.85,10,9782017162094,10,,Percentage,35,89.00, HACHETTE JEUN.,,, COMTESSE DE SEGUR |  XXX,,,,,20/10/2021,,,,,JEUNESSE,uploads/items/22.jpg
LA COMTESSE DE SEGUR - T08 - LA COMTESSE DE SEGUR 08 NED - L'AUBERGE DE L'ANGE-GARDIEN,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017179801,10,,Percentage,35,89.00, HACHETTE JEUN.,,, XXX |  SEGUR (NEE ROSTOPCHI,,,,,19/01/2022,,,,,JEUNESSE,uploads/items/23.jpg
LA COMTESSE DE SEGUR - T09 - LA COMTESSE DE SEGUR 09 NED - LE GENERAL DOURAKINE,livres,,,PIECES,5,Brand 1,11,89.00,TVA,20,Inclusive,115.7,10,9782017179931,10,,Percentage,35,89.00, HACHETTE JEUN.,,, SEGUR |  XXX,,,,,30/03/2022,,,,,JEUNESSE,uploads/items/24.jpg
LE CLAN DES SEPT 01 NED - LE CLAN DES SEPT,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,52.65,10,9782017132820,10,,Percentage,35,81.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,09/03/2022,,,,,JEUNESSE,uploads/items/25.jpg
LE CLAN DES SEPT 02 NED - UNE NOUVELLE ENQUETE,livres,,,PIECES,5,Brand 1,11,81.00,TVA,20,Inclusive,105.3,10,9782017180401,10,,Percentage,35,81.00, HACHETTE JEUN.,,, BLYTON ENID |  XXX,,,,,09/03/2022,,,,,JEUNESSE,uploads/items/1.jpg
